AGL Technology Questionnaire						
RFP Questionnaire ID	Functional Area	Question	Provide details to address AGL's questions	References	Response Definition	Customisation Definition
RES.001	General Architecture & Strategy	Describe your overall data architecture and how it scales across multi-cloud and hybrid environments.	Databricks lakehouse architecture solves AGL's multi-cloud challenge: Kaluza and Salesforce on AWS, corporate systems on Azure, with your Synapse migration underway. Three core design principles eliminate data silos while enabling unified governance.  Compute-storage separation enables independent scaling. Compute runs in managed planes while data stays in ADLS Gen2 or S3. Serverless compute provisions in 5-10 seconds, classic clusters autoscale from 2 to 2000+ nodes based on demand. Photon engine delivers up to 12x better price-performance for SQL workloads, directly supporting your Business Intelligence value driver.  Unity Catalog provides single governance across all clouds and regions, and delivers fine-grained access control, lineage, and auditing across multiple workspaces. Cross-cloud data access via Delta Sharing and Lakehouse Federation enables direct S3 queries from Azure without ETL, eliminating costly data replication.  Open data formats (Delta Lake, Apache Iceberg™) ensure workload portability. Consistent APIs across AWS, Azure, and GCP prevent vendor lock-in. Delta Sharing facilitates secure data exchange across clouds and on-premises without duplication.  For AGL specifically, you can query Kaluza billing data in AWS S3 directly from Azure, ingest Salesforce CRM data via Lakeflow Connect with zero custom code, integrate Splunk security logs from AWS with Azure operational data, and build Customer 360 analytics combining data from both clouds. All under unified governance with consistent data classification, row-column security, and audit logging. This architecture reduces cross-cloud egress costs through selective replication while maintaining a single platform supporting your Climate Transition Action Plan (CTAP) objectives.  	References: What is a data lakehouse? Introduction to the well-architected data lakehouse Guiding principles for the lakehouse Interoperability and usability for the data lakehouse How FedEx built a scalable, enterprise-grade data platform with IT automation and Databricks Unity Catalog	Full	Yes
RES.002	General Architecture & Strategy	How do you embed security and compliance controls at every layer of your architecture?	Databricks implements defense-in-depth security across identity, network, data, and monitoring layers, with controls consistently applied across Azure and AWS.  Identity and access integrate with Microsoft Entra ID for SSO and MFA. Unity Catalog manages permissions as policy-as-code using SQL GRANT statements or Terraform, with all changes audited in system.access.audit tables (365-day retention).  Network isolation uses VNet Injection with Azure Private Link, eliminating the need for public IPs through Secure Cluster Connectivity. Serverless compute provides multi-layer isolation with deny-by-default Network Policies controlling outbound traffic.  Data protection applies TLS 1.2+ in transit and AES-256 at rest. Customer-Managed Keys from Azure Key Vault enable sovereign key control. Unity Catalog enforces fine-grained RBAC, row filters, column masks, and attribute-based policies. Automated Data Classification detects and masks sensitive fields, including PII.  Monitoring includes system tables with 10-minute freshness, diagnostic logs streamed to Splunk, and comprehensive audit logging. Databricks maintains SOC 2, ISO 27001, HIPAA, and IRAP certifications.  To support AGL's IT/OT convergence requirements, IRAP PROTECTED capability (Public Preview) provides Private Link for operational telemetry and automated PII masking across energy infrastructure domains, aligning with your Assets and Business Intelligence value drivers.  	References: Sync users and groups automatically from Microsoft Entra ID - Databricks (on AWS and Azure) Infosec Registered Assessors Program (IRAP) - Databricks (on AWS and Azure) Manage network policies for serverless compute Customer-managed keys for encryption Unity Catalog attribute-based access control (ABAC) Access control in Unity Catalog Cloud Computing Compliance Criteria Catalog (C5) AI Architecture: Building Enterprise AI Systems with Governance How to scale data governance with Attribute-Based Access Control in Unity Catalog A Unified Approach to Data Exfiltration Protection on Databricks	Full	Yes
RES.003	General Architecture & Strategy	Explain your disaster recovery architecture and RPO/RTO guarantees.	Databricks disaster recovery leverages a stateless compute architecture and highly durable cloud storage to support active-passive DR across AGL's multi-region, multicloud topology (Azure australiasoutheast/australiaeast and AWS ap-southeast-2).  Key Architecture Principles:  Stateless Compute: Databricks clusters are ephemeral and stateless—compute resources process data but do not store it. Clusters can be terminated and recreated without data loss because all data persists in cloud storage rather than on cluster nodes. This enables DR by allowing compute to be spun up in any region where data is replicated.  Cloud Storage Durability: Customer data relies on highly durable cloud storage—AWS S3 provides 99.999999999% (11 nines) durability with regional redundancy across availability zones,  while Azure ADLS Gen2 offers zone-redundant (ZRS) or geo-zone-redundant storage (GZRS) with similar high durability guarantees.   Workspace Replication: Paired workspaces are deployed using Infrastructure-as-Code (Terraform/CI-CD) to replicate workspace assets. Data replication uses Delta Lake Deep Clone between ADLS Gen2 and S3 to maintain transactional consistency.   Governance and Metadata: Unity Catalog provides centralised governance with scripted metadata replication to maintain permissions and lineage in secondary regions. Cross-cloud scenarios use Databricks-to-Databricks Delta Sharing for metadata federation.   RPO/RTO: Databricks does NOT provide RPO/RTO guarantees—these are customer-defined based on replication frequency and the implementation of the DR strategy. RPO depends on Delta Deep Clone frequency or cloud provider replication SLAs; RTO depends on failover automation and pre-provisioned infrastructure.   Execution: Lakeflow Spark Declarative Pipelines and Jobs deploy to all regions. Batch pipelines restart on failover; streaming workloads require checkpoint management in customer storage.  Identity (Entra ID/SCIM), networking (VNet/PrivateLink on Azure, VPC/PrivateLink on AWS), and monitoring (Azure Monitor, CloudWatch, Splunk integration) follow AGL standards.  While Databricks does have a business continuity plan, a backup policy and procedure that is routinely tested, and disaster recovery plans, Databricks does not offer disaster recovery capabilities to customers. As such, we cannot provide RTO or RPO objectives. The datasets customers write as a part of your usage of Databricks are typically stored in your account in S3/ADLS/GCS or similar, so customers will typically maintain their own backup process. Customers can use the capabilities of Databricks to implement their own required disaster recovery capabilities. We provide recommendations so that customers can backup your data in customers systems rather than providing backup services ourselves.   Databricks performs backups of our infrastructure (and uses modern cloud architectures like stateless services). Databricks follows industry best-practice standards in designing, documenting and testing its BC/DR programs. These programs are independently validated, at least annually, as part of the our SOC 1 and SOC 2, and our ISO 27001, 27017 and 27018 certification reviews. 	References: Best practices for reliability How Databricks Managed Disaster Recovery Helps Capital One Achieve Lakehouse Resilience Disaster Recovery	Full	Yes
RES.004	General Architecture & Strategy	What differentiates your platform for supporting generative AI and LLM workloads?	Databricks differentiates through enterprise-grade governance and legal protection that eliminates the fragmentation of multi-vendor AI stacks.  Our Multi-AI Indemnity covers all major frontier models (OpenAI, Anthropic, Meta, Google) deployed through Model Serving, protecting AGL from IP claims including judgements, settlements and legal fees. This provides legal certainty for production AI deployments without vendor lock-in.  Unity Catalog delivers centralised governance across all AI assets: models, prompts, vector indexes, agent workflows and AI/BI dashboards. Every agent is traceable from development through production with automated lineage, fine-grained access controls and comprehensive audit trails. This prevents governance gaps when AI tools operate outside enterprise data platforms, directly supporting AGL's Business Intelligence value driver.  For rapid development, Agent Bricks Agent Bricks enables domain-specific agents with automated prompt optimisation and quality evaluation. Business users build production-ready agents in hours rather than weeks. AI/BI extends this to natural language analytics for structured data queries.  Technical flexibility includes direct deployment of multiple foundation models via OpenAI-compatible APIs, native Agent Bricks Vector Search eliminating external database complexity, and Lakebase providing sub-10ms operational data access for real-time agent context. MLflow 3 ensures every experiment and deployment is reproducible and auditable.  This unified approach accelerates AGL's AI initiatives while maintaining governance standards required for regulated energy operations. AI needs the context of your enterprise data to be truly useful.  	References: Databricks launches first Multi-AI Indemnity to protect enterprise AI innovation Agent Bricks documentation Agent Bricks Vector Search Lakebase OLTP instances MLflow 3 installation Agent Bricks capabilities for GenAI Introduction to generative AI apps on Azure Databricks Build gen AI apps on Databricks Data and AI Strategy Platform Focus	Full	Yes
RES.005	General Architecture & Strategy	How do you incorporate automation and AI-driven optimisation in your platform roadmap?	Databricks embeds AI-driven optimisation throughout our platform roadmap, automatically improving performance without increasing operational overhead for AGL's data teams.  Our Predictive Optimisation uses AI to maintain Unity Catalog tables automatically - running OPTIMIZE, VACUUM, and ANALYZE based on usage patterns. Enabled by default since November 2024, production deployments show 70% faster queries over three years through automatic liquid clustering, Bloom filters, and Native IO optimisations. Over 2,400 customers have achieved up to 20x query performance improvements and 2x storage cost reductions.  Compute efficiency evolves continuously through AI-driven resource management. Serverless SQL warehouses use machine learning to scale resources to workload demand, with 5x faster downscaling for improved total cost of ownership. Engine improvements delivered 5x performance gains since 2022, with an additional 25% improvement in June 2025 - automatically applied with no configuration changes required.  Real workloads demonstrate measurable impact: ETL workloads 31% faster year-over-year, BI queries 73% faster over two years.  For AGL, this means your data platform becomes more efficient over time without manual tuning - freeing your teams to focus on delivering insights that support AI/BI value drivers and data-driven decision-making for Australia's lower-emissions future rather than infrastructure management.  	References: Databricks SQL Accelerates Customer Workloads 5x in Just Three Years Announcing Automatic Liquid Clustering Predictive Optimization Automatically Delivers Faster Queries and Lower TCO Predictive Optimization Documentation How We Debug 1000s of Databases with AI at Databricks	Full	Yes
RES.006	Data Quality & Profiling	Does your solution offer rule-based and ML-driven data quality checks at scale?	Yes. Databricks provides both rule-based and ML-driven data quality checks at scale.  Rule-based checks use Lakeflow Spark Declarative Pipelines with SQL-based EXPECT constraints. You define quality gates with configurable actions (warn, drop, or fail) on invalid records. Expectation metrics are queryable from pipeline event logs and version-controlled for consistent promotion across environments. This ensures repeatable quality standards as data products move from development to production.  ML-driven checks leverage Data Quality Monitoring (currently in Beta) for automated anomaly detection across freshness, completeness, and statistical patterns. The system learns normal data behaviour and flags deviations without manual rule creation. Results log to system tables for alerting and root cause analysis, with downstream impact metrics to prioritise remediation.  Both approaches integrate with Unity Catalog for column-level lineage tracking, role-based access controls, and audit logging. This unified governance layer ensures quality checks are enforced consistently across AGL's data estate whilst maintaining visibility into data provenance and quality trends.  For AGL's Business Intelligence value driver, this means quality gates prevent bad data propagation, anomaly detection catches regressions early, and lineage accelerates root cause analysis when issues arise.  	References: Data quality monitoring | Databricks on AWS Data profiling | Databricks on AWS Best practices for data and AI governance - Azure Databricks Building High-Quality and Trusted Data Products with Databricks	Full	Yes
RES.007	Data Quality & Profiling	How do you handle real-time data quality checks for streaming pipelines?	Databricks handles real-time data quality through Lakeflow Spark Declarative Pipelines with integrated expectations that validate data as it streams. Quality rules are defined declaratively in SQL or Python within table definitions, checking schema, nullability, referential integrity, and business logic inline with data flow.  Configurable violation actions (fail, drop, or alert) provide flexible handling based on criticality. All validation metrics are automatically captured in queryable event logs, providing audit trails for regulatory compliance and SLA monitoring critical to AGL's energy market operations.  The unified batch-streaming approach applies identical quality logic across both processing modes, eliminating dual-stack complexity. For AGL's energy market data, this means consistent validation across real-time meter readings and historical analysis without maintaining separate rule sets.  Unity Catalog delivers near real-time column-level lineage with centralised RBAC and comprehensive auditing via system.access.audit. Event logs expose granular metrics (passed records, failed records, dropped records per expectation) accessible via SQL for operational dashboards.  Lakeflow Connect Zerobus and native Azure Event Hubs integration supports low-latency, validated streams for consumer-facing services, aligning with the Australian Energy Market Commission's requirements for real-time consumer energy data access, mandated from 1 January 2028.  	References: Monitor pipelines Best practices for data and AI governance Processing Millions of Events from Thousands of Aircraft with One Declarative Pipeline Introducing Streaming Observability in Lakeflow Jobs and Lakeflow Spark Declarative Pipelines	Full	Yes
RES.008	Data Quality & Profiling	What is your approach to embedding data quality rules into CI/CD workflows?	Databricks handles real-time data quality through Lakeflow Spark Declarative Pipelines with integrated expectations that validate data as it streams. Quality rules are defined declaratively in SQL or Python within table definitions, checking schema, nullability, referential integrity, and business logic inline with data flow.  Configurable violation actions (fail, drop, or alert) provide flexible handling based on criticality. All validation metrics are automatically captured in queryable event logs, providing audit trails for regulatory compliance and SLA monitoring critical to AGL's energy market operations.  The unified batch-streaming approach applies identical quality logic across both processing modes, eliminating dual-stack complexity. For AGL's energy market data, this means consistent validation across real-time meter readings and historical analysis without maintaining separate rule sets.  Unity Catalog delivers near real-time column-level lineage with centralised RBAC and comprehensive auditing via system.access.audit. Event logs expose granular metrics (passed records, failed records, dropped records per expectation) accessible via SQL for operational dashboards.  Lakeflow Connect Zerobus and native Azure Event Hubs integration supports low-latency, validated streams for consumer-facing services, aligning with the Australian Energy Market Commission's requirements for real-time consumer energy data access, mandated from 1 January 2028.  	References: Best practices and recommended CI/CD workflows on Databricks Best practices for data and AI governance Building High-Quality and Trusted Data Products with Databricks CI/CD on Databricks	Partial	Yes
RES.009	Data Quality & Profiling	Explain how your solution applies ML-driven anomaly detection to improve data quality.	Databricks delivers ML-driven anomaly detection through a two-layer approach that strengthens AGL's Business Intelligence value driver by catching quality issues before they impact downstream analytics and reporting.  The first layer is automated ML monitoring at the schema level. Databricks builds per-table models of freshness and completeness patterns across Unity Catalog tables, surfacing health indicators to data consumers and logging detection results for alerting. This runs as a background job without modifying data, respecting Unity Catalog's privilege model to ensure detections are visible only to authorised users. The capability reduces manual validation effort and accelerates identification of data drift or upstream system failures.  The second layer is in-pipeline enforcement through Lakeflow Spark Declarative Pipelines. Lakeflow Expectations validate each record using SQL or Python rules with configurable actions: warn, drop, or fail. Quality metrics are captured in the pipeline event log with full lineage visible in Unity Catalog for end-to-end audit queries.  As ML anomaly detection is currently in Beta, AGL should adopt staged enablement and validate alert thresholds in non-production environments first. For critical ingestion paths supporting CTAP reporting and customer analytics, rely on Expectations to enforce quality until broader maturity is achieved.  	References: Anomaly detection - Azure Databricks Data quality monitoring - Azure Databricks Training 10,000 Anomaly Detection Models on One Billion Records with Explainable Predictions	Full	Yes
RES.010	Data Quality & Profiling	How do you measure and report data quality KPIs for executive dashboards?	Databricks delivers executive data quality visibility through Unity Catalog metric views that standardise KPIs across your organisation. We define business-critical measures like freshness, completeness, accuracy, and timeliness once, then surface them consistently across Power BI dashboards, alerts, and BI tools supporting AGL's Business Intelligence value driver.  Lakehouse Monitoring automates quality tracking with schema-level anomaly detection and detailed profiling with drift analysis. Custom metrics defined via SQL expressions automatically populate AI/BI dashboards showing trends, anomalies, and KPI scores over time. This provides executives with real-time visibility into data health across your renewable generation, customer, and trading systems.  Lakeflow Spark Declarative Pipelines enforce quality rules at the pipeline level, logging results to event logs and system tables for full auditability across bronze-silver-gold layers. Unity Catalog system tables retain 365 days of monitoring results, queryable via Databricks SQL to build executive reports or configure proactive alerts.  Dashboards integrate with Entra ID for role-based access and export logs to Azure Monitor or Sentinel for enterprise observability, supporting AGL's governance requirements.  	References: Data quality monitoring overview Unity Catalog metric views Lakehouse Monitoring GA announcement Data profiling dashboard Anomaly detection Unity Catalog Governance in Action	Full	Yes
RES.011	Data Quality & Profiling	What pre-built rules exist for validating NEM wholesale market data and SCADA telemetry?	Databricks does not provide pre-packaged NEM or SCADA validation templates. Instead, it offers configurable frameworks that allow AGL to define domain-specific data quality rules tailored to wholesale market data and telemetry requirements.  Lakeflow SDP expectations enable inline quality rules in SQL or Python to validate value ranges, timestamp integrity, and mandatory fields. Expectations can warn, drop, or fail records on violations and support reusable patterns stored in Delta tables for consistent application across pipelines.  Delta Lake table constraints enforce schema-level checks such as NOT NULL and CHECK conditions with regex or ranges to block invalid writes at the table boundary, complementing pipeline-level expectations.  Auto Loader with rescued data column handles evolving SCADA telemetry payloads by capturing unexpected fields, type mismatches, and schema variations in a dedicated column. This prevents pipeline failures when telemetry formats change.  Unity Catalog lineage and system tables provide end-to-end governance and audit trails. Quality metrics from expectations are logged to pipeline event logs and queryable via system tables for monitoring and root-cause analysis.  Real-time streaming ingestion from Azure Event Hubs or AWS Kinesis supports exactly-once semantics and schema evolution for continuous SCADA data flows.  This approach allows AGL to codify energy market-specific validation logic whilst maintaining flexibility as NEM rules and telemetry standards evolve.  	References: Clean and validate data with batch or stream processing Data quality monitoring Best practices for reliability	Full	Yes
RES.012	Data Quality & Profiling	How do you ensure data quality for interval metering and settlement processes?	Databricks ensures interval metering and settlement data quality through four integrated layers supporting AGL's NEM obligations and billing accuracy.  Delta Lake enforced constraints block invalid interval data at write time using NOT NULL and CHECK constraints for value ranges, patterns, and business rules. ACID transactions guarantee consistent settlement datasets across concurrent operations, with time travel enabling rollback when validation errors occur.  Lakeflow SDP expectations apply declarative quality rules in streaming and batch flows with configurable actions (warn, drop, fail) on violations. Expectation metrics log to pipeline event logs for SLA monitoring, whilst quarantine patterns isolate invalid records for audit and remediation before settlement runs.  Lakehouse Monitoring tracks freshness and completeness across metering tables with anomaly detection and statistical profiling. Auto-generated dashboards visualise quality trends and drift, with alerts configured on system.dataqualitymonitoring.table_results for proactive notification.  Unity Catalog provides fine-grained access control, end-to-end column-level lineage tracing metering data through settlement transformations, and audit logs with 365-day retention for AEMO compliance and regulatory traceability.  	References: Delta Lake constraints Lakeflow expectations Data quality monitoring AWS Data quality monitoring Azure Data profiling Lakehouse reliability Best practices for data governance	Full	Yes
